quarter,language,push_events,unique_actors
2015-10-01,Kotlin,16029,605
2015-10-01,Lua,32522,1892
2015-10-01,Objective-C,82770,7303
2015-10-01,PHP,502970,26110
2015-10-01,Perl,30554,2140
2015-10-01,Python,811260,41135
2015-10-01,R,24661,1832
2015-10-01,Ruby,316443,18077
2015-10-01,Rust,39010,1429
2015-10-01,Scala,61030,2865
2015-10-01,Swift,64204,4104
2015-10-01,TypeScript,74133,2679
2016-01-01,C,301216,14136
2016-01-01,C#,426786,12222
2016-01-01,C++,430583,18308
2016-01-01,Dart,7931,273
2016-01-01,Go,237587,8053
2016-01-01,Haskell,35881,1953
2016-01-01,Java,749717,34440
2016-01-01,JavaScript,1422212,61885
2016-01-01,Julia,11823,448
2016-01-01,Kotlin,21747,742
2016-01-01,Lua,57531,2151
2016-01-01,Objective-C,78131,5697
2016-01-01,PHP,512954,23832
2016-01-01,Perl,32797,1917
2016-01-01,Python,858209,38950
2016-01-01,R,28582,1819
2016-01-01,Ruby,330262,16337
2016-01-01,Rust,49724,1586
2016-01-01,Scala,76410,2746
2016-01-01,Swift,82279,4076
2016-01-01,TypeScript,102679,3387
2016-04-01,C,274504,13732
2016-04-01,C#,346458,12417
2016-04-01,C++,442973,18538
2016-04-01,Dart,6992,275
2016-04-01,Go,233470,8181
2016-04-01,Haskell,37692,1850
2016-04-01,Java,773748,34528
2016-04-01,JavaScript,1448840,62705
2016-04-01,Julia,13274,465
2016-04-01,Kotlin,25470,878
2016-04-01,Lua,46747,2051
2016-04-01,Objective-C,76178,5644
2016-04-01,PHP,525274,23737
2016-04-01,Perl,29600,1784
2016-04-01,Python,897453,39605
2016-04-01,R,30921,1799
2016-04-01,Ruby,285612,14740
2016-04-01,Rust,47061,1654
2016-04-01,Scala,73921,2745
2016-04-01,Swift,84701,4406
2016-04-01,TypeScript,133727,4439
2016-07-01,C,245695,11905
2016-07-01,C#,317718,11391
2016-07-01,C++,526598,16771
2016-07-01,Dart,6904,254
2016-07-01,Go,222923,7891
2016-07-01,Haskell,31999,1562
2016-07-01,Java,760023,29940
2016-07-01,JavaScript,1273855,56518
2016-07-01,Julia,12085,424
2016-07-01,Kotlin,24954,919
2016-07-01,Lua,42957,1890
2016-07-01,Objective-C,63379,4926
2016-07-01,PHP,455819,20838
2016-07-01,Perl,26932,1639
2016-07-01,Python,844719,36437
2016-07-01,R,28997,1643
2016-07-01,Ruby,252395,12994
2016-07-01,Rust,41769,1530
2016-07-01,Scala,69425,2502
2016-07-01,Swift,88672,4352
2016-07-01,TypeScript,148974,4979
2016-10-01,C,262638,12586
2016-10-01,C#,361508,12529
2016-10-01,C++,692251,18449
2016-10-01,Dart,8003,278
2016-10-01,Go,241133,8518
2016-10-01,Haskell,31220,1661
2016-10-01,Java,761117,33132
2016-10-01,JavaScript,1423633,61493
2016-10-01,Julia,7832,358
2016-10-01,Kotlin,28101,1063
2016-10-01,Lua,39815,1862
2016-10-01,Objective-C,62929,4698
2016-10-01,PHP,477730,21548
2016-10-01,Perl,28109,1618
2016-10-01,Python,891459,39347
2016-10-01,R,27880,1804
2016-10-01,Ruby,259727,12803
2016-10-01,Rust,44983,1675
2016-10-01,Scala,76995,2646
2016-10-01,Swift,95997,4883
2016-10-01,TypeScript,183095,6323
2017-01-01,C,275189,12823
2017-01-01,C#,410108,14233
2017-01-01,C++,509957,19838
2017-01-01,Dart,10072,290
2017-01-01,Go,277666,9865
2017-01-01,Haskell,36461,1768
2017-01-01,Java,826614,36383
2017-01-01,JavaScript,1568954,67897
2017-01-01,Julia,6947,355
2017-01-01,Kotlin,38316,1317
2017-01-01,Lua,48697,2085
2017-01-01,Objective-C,60146,4552
2017-01-01,PHP,531723,23411
2017-01-01,Perl,30534,1630
2017-01-01,Python,1035641,44322
2017-01-01,R,36543,2126
2017-01-01,Ruby,284790,13408
2017-01-01,Rust,53904,2062
2017-01-01,Scala,83815,2941
2017-01-01,Swift,100212,5254
2017-01-01,TypeScript,228992,7898
2017-04-01,C,257326,12566
2017-04-01,C#,599165,14519
2017-04-01,C++,499393,20458
2017-04-01,Dart,12738,306
2017-04-01,Go,291467,10137
2017-04-01,Haskell,33450,1711
2017-04-01,Java,856751,37457
2017-04-01,JavaScript,1533218,66828
2017-04-01,Julia,7254,363
2017-04-01,Kotlin,48899,1762
2017-04-01,Lua,44325,1961
2017-04-01,Objective-C,60286,4485
2017-04-01,PHP,497845,22607
2017-04-01,Perl,32173,1539
2017-04-01,Python,1070084,45578
2017-04-01,R,41288,2256
2017-04-01,Ruby,265340,12613
2017-04-01,Rust,56941,2102
2017-04-01,Scala,85937,2843
2017-04-01,Swift,96137,5147
2017-04-01,TypeScript,251166,8979
2017-07-01,C,232199,11450
2017-07-01,C#,608454,13472
2017-07-01,C++,452121,18730
2017-07-01,Dart,10033,292
2017-07-01,Go,284991,9878
2017-07-01,Haskell,28983,1408
2017-07-01,Java,745803,32974
2017-07-01,JavaScript,1618758,61889
2017-07-01,Julia,5428,311
2017-07-01,Kotlin,52643,1953
2017-07-01,Lua,37631,1790
2017-07-01,Objective-C,50226,3952
2017-07-01,PHP,453113,20833
2017-07-01,Perl,32798,1465
2017-07-01,Python,996910,42902
2017-07-01,R,34586,2055
2017-07-01,Ruby,235874,11241
2017-07-01,Rust,52491,1996
2017-07-01,Scala,75044,2704
2017-07-01,Swift,89482,5005
2017-07-01,TypeScript,269364,9263
2017-10-01,C,197567,9492
2017-10-01,C#,501530,10807
2017-10-01,C++,403618,16062
2017-10-01,Dart,8341,232
2017-10-01,Go,221381,8357
2017-10-01,Haskell,19506,1118
2017-10-01,Java,620123,26461
2017-10-01,JavaScript,1467960,48491
2017-10-01,Julia,4935,262
2017-10-01,Kotlin,46556,1761
2017-10-01,Lua,25023,1415
2017-10-01,Objective-C,34363,2924
2017-10-01,PHP,529477,16620
2017-10-01,Perl,23335,1295
2017-10-01,Python,821218,35378
2017-10-01,R,26124,1605
2017-10-01,Ruby,196645,9480
2017-10-01,Rust,42014,1699
2017-10-01,Scala,59769,2291
2017-10-01,Swift,68456,4053
2017-10-01,TypeScript,242433,7869
2018-01-01,C,152380,7367
2018-01-01,C#,440955,7455
2018-01-01,C++,310172,12442
2018-01-01,Dart,7688,214
2018-01-01,Go,174874,6657
2018-01-01,Haskell,16422,915
2018-01-01,Java,435126,18411
2018-01-01,JavaScript,1154386,34120
2018-01-01,Julia,3528,204
2018-01-01,Kotlin,33576,1259
2018-01-01,Lua,18434,1049
2018-01-01,Objective-C,20868,1998
2018-01-01,PHP,507274,12486
2018-01-01,Perl,24143,1096
2018-01-01,Python,617626,26682
2018-01-01,R,19503,1217
2018-01-01,Ruby,168532,8002
2018-01-01,Rust,29714,1303
2018-01-01,Scala,49935,1807
2018-01-01,Swift,41805,2688
2018-01-01,TypeScript,191645,5966
2018-04-01,C,119931,6184
2018-04-01,C#,286059,6054
2018-04-01,C++,255179,10806
2018-04-01,Dart,7214,209
2018-04-01,Go,143960,5629
2018-04-01,Haskell,12321,720
2018-04-01,Java,342735,15473
2018-04-01,JavaScript,618477,27382
2018-04-01,Julia,2705,173
2018-04-01,Kotlin,26957,1096
2018-04-01,Lua,13265,874
2018-04-01,Objective-C,16646,1629
2018-04-01,PHP,364794,10121
2018-04-01,Perl,18514,939
2018-04-01,Python,491260,22696
2018-04-01,R,12171,1023
2018-04-01,Ruby,135115,6880
2018-04-01,Rust,24013,1082
2018-04-01,Scala,37006,1538
2018-04-01,Swift,35005,2224
2018-04-01,TypeScript,160133,5201
2018-07-01,C,106293,5476
2018-07-01,C#,244036,5356
2018-07-01,C++,229870,9447
2018-07-01,Dart,6086,251
2018-07-01,Go,130096,5314
2018-07-01,Haskell,11604,631
2018-07-01,Java,311390,13543
2018-07-01,JavaScript,441053,23163
2018-07-01,Julia,3227,178
2018-07-01,Kotlin,24627,1019
2018-07-01,Lua,12628,793
2018-07-01,Objective-C,13734,1389
2018-07-01,PHP,338429,8824
2018-07-01,Perl,29495,864
2018-07-01,Python,445986,20022
2018-07-01,R,9575,831
2018-07-01,Ruby,117510,5994
2018-07-01,Rust,21630,985
2018-07-01,Scala,34258,1350
2018-07-01,Swift,31626,2005
2018-07-01,TypeScript,149668,4669
2018-10-01,C,99589,5136
2018-10-01,C#,285722,4953
2018-10-01,C++,212747,8619
2018-10-01,Dart,4844,201
2018-10-01,Go,112194,4841
2018-10-01,Haskell,10046,574
2018-10-01,Java,295528,12681
2018-10-01,JavaScript,401880,21181
2018-10-01,Julia,2387,156
2018-10-01,Kotlin,24184,983
2018-10-01,Lua,10478,714
2018-10-01,Objective-C,10702,1235
2018-10-01,PHP,277861,8151
2018-10-01,Perl,25123,831
2018-10-01,Python,396054,18786
2018-10-01,R,8690,741
2018-10-01,Ruby,109999,5556
2018-10-01,Rust,20481,953
2018-10-01,Scala,29813,1272
2018-10-01,Swift,26180,1922
2018-10-01,TypeScript,141920,4489
2019-01-01,C,109462,4901
2019-01-01,C#,340215,4677
2019-01-01,C++,222296,8369
2019-01-01,Dart,6230,223
2019-01-01,Go,125695,4787
2019-01-01,Haskell,8031,521
2019-01-01,Java,314421,11823
2019-01-01,JavaScript,394468,20155
2019-01-01,Julia,2763,147
2019-01-01,Kotlin,25350,879
2019-01-01,Lua,11644,667
2019-01-01,Objective-C,11258,1107
2019-01-01,PHP,327736,7914
2019-01-01,Perl,15579,816
2019-01-01,Python,418019,18016
2019-01-01,R,9300,707
2019-01-01,Ruby,122714,5427
2019-01-01,Rust,22715,917
2019-01-01,Scala,31341,1198
2019-01-01,Swift,24863,1671
2019-01-01,TypeScript,161437,4326
2019-04-01,C,100445,4492
2019-04-01,C#,391568,4313
2019-04-01,C++,212977,7928
2019-04-01,Dart,6943,193
2019-04-01,Go,128738,4511
2019-04-01,Haskell,7874,456
2019-04-01,Java,309103,11133
2019-04-01,JavaScript,372496,18139
2019-04-01,Julia,1901,132
2019-04-01,Kotlin,25696,850
2019-04-01,Lua,11228,625
2019-04-01,Objective-C,13029,1023
2019-04-01,PHP,354292,7049
2019-04-01,Perl,19331,779
2019-04-01,Python,407561,16743
2019-04-01,R,8681,674
2019-04-01,Ruby,113165,5055
2019-04-01,Rust,22639,876
2019-04-01,Scala,32641,1127
2019-04-01,Swift,25121,1770
2019-04-01,TypeScript,163830,4098
2019-07-01,C,100223,4217
2019-07-01,C#,374865,3866
2019-07-01,C++,201475,7387
2019-07-01,Dart,6915,209
2019-07-01,Go,128593,4302
2019-07-01,Haskell,6256,444
2019-07-01,Java,288514,10290
2019-07-01,JavaScript,347487,16936
2019-07-01,Julia,2370,128
2019-07-01,Kotlin,23126,787
2019-07-01,Lua,9649,561
2019-07-01,Objective-C,10951,939
2019-07-01,PHP,308933,6509
2019-07-01,Perl,23194,723
2019-07-01,Python,379923,15546
2019-07-01,R,7113,554
2019-07-01,Ruby,102625,4739
2019-07-01,Rust,24033,884
2019-07-01,Scala,33754,1091
2019-07-01,Swift,21412,1443
2019-07-01,TypeScript,164862,3967
2019-10-01,C,96457,4086
2019-10-01,C#,337746,3705
2019-10-01,C++,197675,7071
2019-10-01,Dart,6633,195
2019-10-01,Go,118804,4127
2019-10-01,Haskell,6869,457
2019-10-01,Java,299806,9727
2019-10-01,JavaScript,337186,15714
