month,language,push_events,unique_actors,events_per_actor,actors_stack,events_per_actor_viz,actor_rank
2011-01-01,C,13681.208698307177,2408,5.681565074047831,2408,5.681565074047831,4
2011-01-01,C#,2894.425017033318,490,5.90698983068024,490,5.90698983068024,10
2011-01-01,C++,11777.253132374728,1671,7.048027009200914,1671,7.048027009200914,5
2011-01-01,Dart,5.425922227125484,19,0.285574854059236,19,0.285574854059236,20
2011-01-01,Go,713.8092236449469,124,5.756525997136668,124,5.756525997136668,15
2011-01-01,Haskell,2215.5956223122625,251,8.827074192479134,251,8.827074192479134,12
2011-01-01,Java,13569.932574491131,1537,8.82884357481531,1537,8.82884357481531,7
2011-01-01,JavaScript,20919.38565364256,3863,5.415321163252021,3863,5.415321163252021,1
2011-01-01,Julia,0.7971834118248161,16,0.049823963239051,16,0.049823963239051,21
2011-01-01,Kotlin,78.10131192177319,40,1.9525327980443297,40,1.9525327980443297,18
2011-01-01,Lua,480.7792515549148,266,1.8074407953192289,266,1.8074407953192289,11
2011-01-01,Objective-C,2372.4105976091087,840,2.824298330487034,840,2.824298330487034,9
2011-01-01,PHP,13254.40942652876,1545,8.578905777688519,1545,8.578905777688519,6
2011-01-01,Perl,2107.254910198751,1259,1.6737529072269668,1259,1.6737529072269668,8
2011-01-01,Python,20514.568828806063,3121,6.57307556193722,3121,6.57307556193722,3
2011-01-01,R,59.81261931835364,195,0.3067313811197623,195,0.3067313811197623,14
2011-01-01,Ruby,26157.86519366351,3251,8.046098183224704,3251,8.046098183224704,2
2011-01-01,Rust,396.16435264421926,68,5.825946362414989,68,5.825946362414989,17
2011-01-01,Scala,1766.035274572395,217,8.138411403559424,217,8.138411403559424,13
2011-01-01,Swift,26.67583031456684,27,0.9879937153543276,27,0.9879937153543276,19
2011-01-01,TypeScript,208.94320126236184,71,2.94286198961073,71,2.94286198961073,16
2011-04-01,C,24924.392703527,3670,6.791387657636784,3670,6.791387657636784,4
2011-04-01,C#,6068.589164639601,711,8.535287151391843,711,8.535287151391843,10
2011-04-01,C++,25548.909239595218,2636,9.69230244294204,2636,9.69230244294204,5
2011-04-01,Dart,4.238948828325054,21,0.2018547061107168,21,0.2018547061107168,20
2011-04-01,Go,2010.005655602846,189,10.634950558745215,189,10.634950558745215,15
2011-04-01,Haskell,3868.348270745541,400,9.670870676863853,400,9.670870676863853,11
2011-04-01,Java,30162.819066096305,2369,12.73230015453622,2369,12.73230015453622,7
2011-04-01,JavaScript,41017.23446625262,6073,6.754031692121295,6073,6.754031692121295,1
2011-04-01,Julia,1.5670573896923423,16,0.0979410868557714,16,0.0979410868557714,21
2011-04-01,Kotlin,121.91580241760644,49,2.4880776003593152,49,2.4880776003593152,19
2011-04-01,Lua,1092.1989976648083,370,2.9518891828778604,370,2.9518891828778604,12
2011-04-01,Objective-C,4748.818686123278,1356,3.5020786770820638,1356,3.5020786770820638,9
2011-04-01,PHP,24492.522695090367,2419,10.125061056258936,2419,10.125061056258936,6
2011-04-01,Perl,4264.991855201392,1917,2.224826215545849,1917,2.224826215545849,8
2011-04-01,Python,41771.40199545452,4686,8.914084932875484,4686,8.914084932875484,3
2011-04-01,R,155.44708358394337,237,0.655894867442799,237,0.655894867442799,14
2011-04-01,Ruby,51180.20559594742,4935,10.370862329472628,4935,10.370862329472628,2
2011-04-01,Rust,899.067043717312,124,7.250540675139613,124,7.250540675139613,16
2011-04-01,Scala,3443.255350058608,326,10.562132975639903,326,10.562132975639903,13
2011-04-01,Swift,70.90844846613311,54,1.313119416039502,54,1.313119416039502,18
2011-04-01,TypeScript,646.4895792854932,115,5.621648515526028,115,5.621648515526028,17
2011-07-01,C,26435.38580416744,4062,6.507972871533097,4062,6.507972871533097,4
2011-07-01,C#,7715.488886934787,832,9.273424142950464,832,9.273424142950464,10
2011-07-01,C++,26261.99322961204,2972,8.836471476989246,2972,8.836471476989246,5
2011-07-01,Dart,18.600977436070256,13,1.4308444181592503,13,1.4308444181592503,20
2011-07-01,Go,2103.7209151918846,197,10.678786371532407,197,10.678786371532407,15
2011-07-01,Haskell,4924.135615176268,418,11.780228744440834,418,11.780228744440834,11
2011-07-01,Java,32023.144131966288,2699,11.864818129665167,2699,11.864818129665167,7
2011-07-01,JavaScript,49108.0549797788,7041,6.974585283309018,7041,6.974585283309018,1
2011-07-01,Julia,1.3107179646044191,11,0.1191561786004017,11,0.1191561786004017,21
2011-07-01,Kotlin,263.18250657011623,45,5.848500146002583,45,5.848500146002583,19
2011-07-01,Lua,1412.59468470219,387,3.6501154643467446,387,3.6501154643467446,12
2011-07-01,Objective-C,5901.046454813237,1537,3.839327556807571,1537,3.839327556807571,9
2011-07-01,PHP,30004.99842529836,2768,10.839956078503745,2768,10.839956078503745,6
2011-07-01,Perl,4608.802958224072,2128,2.1657908638271017,2128,2.1657908638271017,8
2011-07-01,Python,50535.536919429134,5466,9.24543302587434,5466,9.24543302587434,2
2011-07-01,R,292.2981963616244,235,1.243822112177125,235,1.243822112177125,14
2011-07-01,Ruby,55195.137063520575,5409,10.20431448761704,5409,10.20431448761704,3
2011-07-01,Rust,1200.1529290681358,193,6.218408958902258,193,6.218408958902258,16
2011-07-01,Scala,3776.886140149831,350,10.791103257570946,350,10.791103257570946,13
2011-07-01,Swift,91.44728529314337,53,1.7254204772291202,53,1.7254204772291202,18
2011-07-01,TypeScript,843.084111867993,139,6.065353322791316,139,6.065353322791316,17
2011-10-01,C,29862.88980898189,4636,6.441520666303255,4636,6.441520666303255,4
2011-10-01,C#,7967.666544162364,945,8.431393168425782,945,8.431393168425782,10
2011-10-01,C++,29515.790753826568,3400,8.681114927596049,3400,8.681114927596049,5
2011-10-01,Dart,20.41388773239448,22,0.9279039878361126,22,0.9279039878361126,20
2011-10-01,Go,2624.598570105815,250,10.49839428042326,250,10.49839428042326,15
2011-10-01,Haskell,5265.074168966831,464,11.347142605531964,464,11.347142605531964,11
2011-10-01,Java,34951.73934232112,3168,11.032746004520554,3168,11.032746004520554,7
2011-10-01,JavaScript,56344.28323369878,8198,6.872930377372381,8198,6.872930377372381,1
2011-10-01,Julia,0.8074378309441828,19,0.0424967279444306,19,0.0424967279444306,21
2011-10-01,Kotlin,291.6362768940735,57,5.1164259104223415,57,5.1164259104223415,19
2011-10-01,Lua,1518.7753029264118,453,3.352704862972212,453,3.352704862972212,12
2011-10-01,Objective-C,6082.533486198883,1854,3.2807623981655247,1854,3.2807623981655247,9
2011-10-01,PHP,36333.678422253695,3268,11.118016653076406,3268,11.118016653076406,6
2011-10-01,Perl,5105.50379451752,2527,2.0203813987010366,2527,2.0203813987010366,8
2011-10-01,Python,52125.61067112739,6253,8.336096381117446,6253,8.336096381117446,2
2011-10-01,R,260.2414950641286,284,0.916343292479326,284,0.916343292479326,14
2011-10-01,Ruby,53569.957953036224,5733,9.344140581377328,5733,9.344140581377328,3
2011-10-01,Rust,913.1965844517944,196,4.659166247203032,196,4.659166247203032,17
2011-10-01,Scala,4051.7771404298655,401,10.104182395086946,401,10.104182395086946,13
2011-10-01,Swift,83.90334953509847,63,1.331799198969817,63,1.331799198969817,18
2011-10-01,TypeScript,821.8955015395678,200,4.109477507697839,200,4.109477507697839,16
2012-01-01,C,29527.25967238525,4733,6.238592789432761,4733,6.238592789432761,4
2012-01-01,C#,7897.268281611434,987,8.00128498643509,987,8.00128498643509,10
2012-01-01,C++,31228.60923284877,3607,8.65777910530878,3607,8.65777910530878,5
2012-01-01,Dart,46.89033444821907,18,2.605018580456615,18,2.605018580456615,20
2012-01-01,Go,2690.8540843249857,299,8.999511987708983,299,8.999511987708983,14
2012-01-01,Haskell,5665.308712624808,488,11.60923916521477,488,11.60923916521477,12
2012-01-01,Java,44908.04017316789,3544,12.671568897620736,3544,12.671568897620736,6
2012-01-01,JavaScript,61325.68237390064,8992,6.8200269543928655,8992,6.8200269543928655,1
2012-01-01,Julia,2.591247642099897,18,0.1439582023388831,18,0.1439582023388831,20
2012-01-01,Kotlin,302.06346266548013,69,4.377731342977973,69,4.377731342977973,19
2012-01-01,Lua,1868.0947416433617,491,3.804673608234952,491,3.804673608234952,11
2012-01-01,Objective-C,7547.773150351114,1924,3.9229590178540095,1924,3.9229590178540095,9
2012-01-01,PHP,39225.3804251284,3503,11.197653561269885,3503,11.197653561269885,7
2012-01-01,Perl,4192.5785953346685,2551,1.6435039574028494,2551,1.6435039574028494,8
2012-01-01,Python,59875.32053550964,6600,9.072018262956009,6600,9.072018262956009,2
2012-01-01,R,232.8649417886116,284,0.819946978128914,284,0.819946978128914,15
2012-01-01,Ruby,56333.3237994776,6068,9.28367234665089,6068,9.28367234665089,3
2012-01-01,Rust,369.5920016295162,119,3.1058151397438336,119,3.1058151397438336,17
2012-01-01,Scala,4939.17668894806,444,11.12427182195509,444,11.12427182195509,13
2012-01-01,Swift,132.53236443617658,79,1.6776248662807165,79,1.6776248662807165,18
2012-01-01,TypeScript,1433.434535330228,200,7.16717267665114,200,7.16717267665114,16
2012-04-01,C,9970.02421822015,0,,1568,6.357454115338295,7
2012-04-01,C#,3154.901198035217,0,,140,22.614933216415427,8
2012-04-01,C++,14520.321936213197,0,,1242,11.693361276033812,6
2012-04-01,Dart,29.58790849380545,0,,2,15.989026809365935,18
2012-04-01,Go,421.7094400276324,0,,23,18.256203761795128,15
2012-04-01,Haskell,1243.7231900299023,0,,185,6.716581140936682,12
2012-04-01,Java,24847.375116796127,0,,1534,16.200679719759634,4
2012-04-01,JavaScript,33883.93049806474,0,,3588,9.44421100431696,1
2012-04-01,Julia,0.6297076255690983,0,,1,6.566470308508484,21
2012-04-01,Kotlin,95.0464185039393,0,,10,9.804949586161545,16
2012-04-01,Lua,617.7941057901709,0,,184,3.352704862972212,14
2012-04-01,Objective-C,2449.191366298805,0,,1116,2.195193420202177,10
2012-04-01,PHP,22239.104085446183,0,,1728,12.87180857325602,5
2012-04-01,Perl,1994.5193202583791,0,,736,2.7107565016190964,11
2012-04-01,Python,31458.73811677165,0,,2801,11.231327133475888,2
2012-04-01,R,48.48007162168298,0,,21,2.343312469706796,17
2012-04-01,Ruby,28534.74015588072,0,,4535,6.291591644837868,3
2012-04-01,Rust,21.517776036465595,0,,2,12.748161952284962,19
2012-04-01,Scala,2845.143215451953,0,,253,11.247533591857604,9
2012-04-01,Swift,19.918583028327348,0,,2,8.196188384133398,20
2012-04-01,TypeScript,868.2625779047767,0,,52,16.72043220442994,13
2012-07-01,C,10685.487415803404,0,,1681,6.357454115338295,7
2012-07-01,C#,3849.263160090266,0,,170,22.614933216415427,8
2012-07-01,C++,16598.538800378417,0,,1419,11.693361276033812,6
2012-07-01,Dart,18.85953907722437,0,,1,15.989026809365935,20
2012-07-01,Go,916.9369782177268,0,,50,18.256203761795128,14
2012-07-01,Haskell,1280.9264339890942,0,,191,6.716581140936682,12
2012-07-01,Java,29262.27655135856,0,,1806,16.200679719759634,4
2012-07-01,JavaScript,41229.48832054902,0,,4366,9.44421100431696,1
2012-07-01,Julia,0.4949199420856813,0,,1,6.566470308508484,21
2012-07-01,Kotlin,224.7695277338485,0,,23,9.804949586161545,16
2012-07-01,Lua,1008.1466788548184,0,,301,3.352704862972212,13
2012-07-01,Objective-C,2629.8708851981805,0,,1198,2.195193420202177,10
2012-07-01,PHP,26846.895554180013,0,,2086,12.87180857325602,5
2012-07-01,Perl,2071.094435583734,0,,764,2.7107565016190964,11
2012-07-01,Python,39077.65567626791,0,,3479,11.231327133475888,2
2012-07-01,R,59.51852791343876,0,,25,2.343312469706796,18
2012-07-01,Ruby,30854.708596379616,0,,4904,6.291591644837868,3
2012-07-01,Rust,90.57692260407212,0,,7,12.748161952284962,17
2012-07-01,Scala,2998.079251010482,0,,267,11.247533591857604,9
2012-07-01,Swift,53.85002305736144,0,,7,8.196188384133398,19
2012-07-01,TypeScript,760.6466159346759,0,,45,16.72043220442994,15
2012-10-01,C,14493.837041296683,0,,2280,6.357454115338295,7
2012-10-01,C#,3566.089796360175,0,,158,22.614933216415427,8
2012-10-01,C++,16236.247396624236,0,,1389,11.693361276033812,6
2012-10-01,Dart,98.38612080012264,0,,6,15.989026809365935,18
2012-10-01,Go,1583.5070971451332,0,,87,18.256203761795128,12
2012-10-01,Haskell,1383.8542370646612,0,,206,6.716581140936682,13
2012-10-01,Java,37389.51708697072,0,,2308,16.200679719759634,3
2012-10-01,JavaScript,44575.67645541068,0,,4720,9.44421100431696,1
2012-10-01,Julia,17.289697426202913,0,,3,6.566470308508484,21
2012-10-01,Kotlin,404.42857180381486,0,,41,9.804949586161545,16
2012-10-01,Lua,686.9336140179362,0,,205,3.352704862972212,15
2012-10-01,Objective-C,3369.7478615647155,0,,1535,2.195193420202177,9
2012-10-01,PHP,30506.46139530504,0,,2370,12.87180857325602,5
2012-10-01,Perl,2526.5491183528097,0,,932,2.7107565016190964,11
2012-10-01,Python,42497.309518760194,0,,3784,11.231327133475888,2
2012-10-01,R,64.43159215443289,0,,27,2.343312469706796,19
2012-10-01,Ruby,34925.261878591205,0,,5551,6.291591644837868,4
2012-10-01,Rust,40.327041027202526,0,,3,12.748161952284962,20
2012-10-01,Scala,3105.050987867455,0,,276,11.247533591857604,10
2012-10-01,Swift,264.9062061203127,0,,32,8.196188384133398,17
2012-10-01,TypeScript,1007.2777227172209,0,,60,16.72043220442994,14
2013-01-01,C,18363.264028539903,0,,2888,6.357454115338295,7
2013-01-01,C#,6623.237882128608,0,,293,22.614933216415427,8
2013-01-01,C++,22424.56492452359,0,,1918,11.693361276033812,6
2013-01-01,Dart,1384.3873682465885,0,,87,15.989026809365935,15
2013-01-01,Go,2123.312946966309,0,,116,18.256203761795128,13
2013-01-01,Haskell,2156.474864165031,0,,321,6.716581140936682,12
2013-01-01,Java,57596.33535795826,0,,3555,16.200679719759634,2
2013-01-01,JavaScript,61437.539704457326,0,,6505,9.44421100431696,1
2013-01-01,Julia,65.01052076850351,0,,10,6.566470308508484,20
2013-01-01,Kotlin,391.07918079630736,0,,40,9.804949586161545,17
2013-01-01,Lua,803.5914717006658,0,,240,3.352704862972212,16
2013-01-01,Objective-C,4355.423195439422,0,,1984,2.195193420202177,9
2013-01-01,PHP,41958.58856993288,0,,3260,12.87180857325602,5
2013-01-01,Perl,3506.9299201754548,0,,1294,2.7107565016190964,11
2013-01-01,Python,57053.33107257984,0,,5080,11.231327133475888,3
2013-01-01,R,152.40109174588676,0,,65,2.343312469706796,19
2013-01-01,Ruby,45743.606092174,0,,7271,6.291591644837868,4
2013-01-01,Rust,49.19453174981842,0,,4,12.748161952284962,21
2013-01-01,Scala,4060.481485265048,0,,361,11.247533591857604,10
2013-01-01,Swift,194.37250836700656,0,,24,8.196188384133398,18
2013-01-01,TypeScript,1568.7567499651773,0,,94,16.72043220442994,14
2013-04-01,C,21081.36827367104,0,,3316,6.357454115338295,7
2013-04-01,C#,7745.915659648512,0,,343,22.614933216415427,8
2013-04-01,C++,26516.99955388044,0,,2268,11.693361276033812,6
2013-04-01,Dart,504.43801622427657,0,,32,15.989026809365935,17
2013-04-01,Go,3180.7863463250937,0,,174,18.256203761795128,12
2013-04-01,Haskell,1750.415368760513,0,,261,6.716581140936682,14
2013-04-01,Java,59314.62424319644,0,,3661,16.200679719759634,3
2013-04-01,JavaScript,71663.0921994257,0,,7588,9.44421100431696,1
2013-04-01,Julia,51.54606024058727,0,,8,6.566470308508484,21
2013-04-01,Kotlin,662.1662442639113,0,,68,9.804949586161545,16
2013-04-01,Lua,1071.251158468291,0,,320,3.352704862972212,15
2013-04-01,Objective-C,4772.307532496834,0,,2174,2.195193420202177,9
2013-04-01,PHP,47886.37933783791,0,,3720,12.87180857325602,5
2013-04-01,Perl,4687.433349927874,0,,1729,2.7107565016190964,11
2013-04-01,Python,65870.40123221988,0,,5865,11.231327133475888,2
2013-04-01,R,444.26049846957807,0,,190,2.343312469706796,18
2013-04-01,Ruby,49193.53671571961,0,,7819,6.291591644837868,4
2013-04-01,Rust,52.56765698689577,0,,4,12.748161952284962,20
2013-04-01,Scala,4767.100025687121,0,,424,11.247533591857604,10
2013-04-01,Swift,165.49343301672403,0,,20,8.196188384133398,19
2013-04-01,TypeScript,1804.2027760146664,0,,108,16.72043220442994,13
2013-07-01,C,26077.917003853763,0,,4102,6.357454115338295,7
2013-07-01,C#,9682.74088793713,0,,428,22.614933216415427,8
2013-07-01,C++,30802.16381168584,0,,2634,11.693361276033812,6
2013-07-01,Dart,347.17892182567664,0,,22,15.989026809365935,19
2013-07-01,Go,4562.667831472993,0,,250,18.256203761795128,12
2013-07-01,Haskell,2004.923334130836,0,,299,6.716581140936682,14
2013-07-01,Java,74409.36989045965,0,,4593,16.200679719759634,3
2013-07-01,JavaScript,95797.87081102944,0,,10144,9.44421100431696,1
2013-07-01,Julia,296.8057233911145,0,,45,6.566470308508484,20
2013-07-01,Kotlin,1158.1881892828924,0,,118,9.804949586161545,16
2013-07-01,Lua,1217.0305286201803,0,,363,3.352704862972212,15
2013-07-01,Objective-C,7368.697612659571,0,,3357,2.195193420202177,9
2013-07-01,PHP,56219.859756818216,0,,4368,12.87180857325602,5
2013-07-01,Perl,5719.756929054764,0,,2110,2.7107565016190964,10
2013-07-01,Python,81515.7879984411,0,,7258,11.231327133475888,2
2013-07-01,R,632.2529623576604,0,,270,2.343312469706796,17
2013-07-01,Ruby,57649.16008744953,0,,9163,6.291591644837868,4
2013-07-01,Rust,101.22024966536137,0,,8,12.748161952284962,21
2013-07-01,Scala,5352.179123574821,0,,476,11.247533591857604,11
2013-07-01,Swift,363.0931415599034,0,,44,8.196188384133398,18
2013-07-01,TypeScript,3078.7724762421262,0,,184,16.72043220442994,13
2013-10-01,C,30555.228662304064,0,,4806,6.357454115338295,7
2013-10-01,C#,12140.313155650052,0,,537,22.614933216415427,8
2013-10-01,C++,38061.48705342339,0,,3255,11.693361276033812,6
2013-10-01,Dart,927.5691510915916,0,,58,15.989026809365935,18
2013-10-01,Go,7279.654710418296,0,,399,18.256203761795128,10
2013-10-01,Haskell,2259.122363736649,0,,336,6.716581140936682,14
2013-10-01,Java,92410.6623625911,0,,5704,16.200679719759634,3
2013-10-01,JavaScript,117639.04386244313,0,,12456,9.44421100431696,1
2013-10-01,Julia,312.8745147793565,0,,48,6.566470308508484,20
2013-10-01,Kotlin,1187.9255486462785,0,,121,9.804949586161545,15
2013-10-01,Lua,1134.917307880231,0,,339,3.352704862972212,16
2013-10-01,Objective-C,9782.869248232892,0,,4456,2.195193420202177,9
2013-10-01,PHP,64114.71889438417,0,,4981,12.87180857325602,4
2013-10-01,Perl,5209.245198476749,0,,1922,2.7107565016190964,12
