month,language,push_events,unique_actors,month_total,share,share_pct
2011-01-01,C,13681.208698307177,2408,133200.85382583985,0.1027111186253757,10.27111186253758
2011-01-01,C#,2894.425017033318,490,133200.85382583985,0.0217297782551587,2.1729778255158783
2011-01-01,C++,11777.253132374728,1671,133200.85382583985,0.0884172495453632,8.84172495453632
2011-01-01,Dart,5.425922227125484,19,133200.85382583985,4.073489074041431e-05,0.0040734890740414
2011-01-01,Go,713.8092236449469,124,133200.85382583985,0.0053588937543767,0.5358893754376775
2011-01-01,Haskell,2215.5956223122625,251,133200.85382583985,0.0166334941456843,1.6633494145684338
2011-01-01,Java,13569.932574491131,1537,133200.85382583985,0.1018757176454275,10.187571764542758
2011-01-01,JavaScript,20919.38565364256,3863,133200.85382583985,0.1570514381311298,15.705143813112986
2011-01-01,Julia,0.7971834118248161,16,133200.85382583985,5.984822085803846e-06,0.0005984822085803
2011-01-01,Kotlin,78.10131192177319,40,133200.85382583985,0.000586342427083,0.0586342427083017
2011-01-01,Lua,480.7792515549148,266,133200.85382583985,0.0036094307036765,0.3609430703676523
2011-01-01,Objective-C,2372.4105976091087,840,133200.85382583985,0.0178107762035147,1.7810776203514702
2011-01-01,PHP,13254.40942652876,1545,133200.85382583985,0.0995069404274157,9.950694042741576
2011-01-01,Perl,2107.254910198751,1259,133200.85382583985,0.0158201306498679,1.582013064986796
2011-01-01,Python,20514.568828806063,3121,133200.85382583985,0.1540122922607453,15.40122922607453
2011-01-01,R,59.81261931835364,195,133200.85382583985,0.0004490408101779,0.0449040810177978
2011-01-01,Ruby,26157.86519366351,3251,133200.85382583985,0.1963791105112954,19.637911051129542
2011-01-01,Rust,396.16435264421926,68,133200.85382583985,0.0029741877868305,0.2974187786830587
2011-01-01,Scala,1766.035274572395,217,133200.85382583985,0.0132584380944095,1.3258438094409564
2011-01-01,Swift,26.67583031456684,27,133200.85382583985,0.0002002677126187,0.020026771261876
2011-01-01,TypeScript,208.94320126236184,71,133200.85382583985,0.0015686325970219,0.1568632597021901
2011-04-01,C,24924.392703527,3670,266493.327705688,0.093527267335763,9.352726733576306
2011-04-01,C#,6068.589164639601,711,266493.327705688,0.0227720116555476,2.277201165554763
2011-04-01,C++,25548.909239595218,2636,266493.327705688,0.0958707276446753,9.58707276446753
2011-04-01,Dart,4.238948828325054,21,266493.327705688,1.590639760034254e-05,0.0015906397600342
2011-04-01,Go,2010.005655602846,189,266493.327705688,0.0075424239432466,0.7542423943246608
2011-04-01,Haskell,3868.348270745541,400,266493.327705688,0.014515741553641,1.4515741553641064
2011-04-01,Java,30162.819066096305,2369,266493.327705688,0.1131841435797888,11.31841435797888
2011-04-01,JavaScript,41017.23446625262,6073,266493.327705688,0.1539146770366857,15.391467703668576
2011-04-01,Julia,1.5670573896923423,16,266493.327705688,5.880287522331446e-06,0.0005880287522331
2011-04-01,Kotlin,121.91580241760644,49,266493.327705688,0.0004574816317812,0.0457481631781223
2011-04-01,Lua,1092.1989976648083,370,266493.327705688,0.0040984102944259,0.4098410294425906
2011-04-01,Objective-C,4748.818686123278,1356,266493.327705688,0.0178196532236177,1.7819653223617722
2011-04-01,PHP,24492.522695090367,2419,266493.327705688,0.0919067014020689,9.19067014020689
2011-04-01,Perl,4264.991855201392,1917,266493.327705688,0.0160041224743592,1.6004122474359272
2011-04-01,Python,41771.40199545452,4686,266493.327705688,0.1567446448099682,15.67446448099682
2011-04-01,R,155.44708358394337,237,266493.327705688,0.0005833057244705,0.0583305724470585
2011-04-01,Ruby,51180.20559594742,4935,266493.327705688,0.1920506079329318,19.205060793293185
2011-04-01,Rust,899.067043717312,124,266493.327705688,0.0033736943864884,0.337369438648847
2011-04-01,Scala,3443.255350058608,326,266493.327705688,0.0129206062294411,1.2920606229441127
2011-04-01,Swift,70.90844846613311,54,266493.327705688,0.0002660796391286,0.0266079639128689
