language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors,z
C,pca,PCA,3.890217718905769,1.7710471476350458,6095516,4.856861963340823,900690,-0.354794970067394
C#,pca,PCA,5.517441488601783,-4.580892116769093,16574065,8.462098866787409,362839,4.030134665834423
C++,pca,PCA,6.988489251927829,0.6720816242152313,9930758,7.382190664480297,826958,-1.0214382421582116
Dart,pca,PCA,-8.057412119132858,-0.4398124515789771,378103,0.295761517822908,20470,-0.1863624976232454
Go,pca,PCA,2.3182707254863923,-2.9666429688771667,6039562,4.102650354305577,317241,-2.2810770197098584
Haskell,pca,PCA,-7.120469925190852,1.677033290463403,609654,0.4910525629537782,65509,0.926437005095019
Java,pca,PCA,10.392984410406504,1.299326056133946,16106230,11.910417960102818,961606,-0.7646039949197495
JavaScript,pca,PCA,14.720536108057658,-0.7635556797746897,35828850,21.45866269232887,2643812,2.534244230839912
Julia,pca,PCA,-9.362612436656716,0.2456322605552969,176000,0.0916778464083119,18514,0.7193063531961739
Kotlin,pca,PCA,-5.637564594131219,-1.4773213918098484,1082614,0.7790707868331034,104799,-0.901052587075726
Lua,pca,PCA,-7.03963211386109,0.419289662457723,765927,0.4571776687658836,157796,0.5605922475481099
Objective-C,pca,PCA,-5.474140555050862,2.451356074933273,1163558,0.8704981714123565,345410,1.1506845820882683
PHP,pca,PCA,7.052761687492837,2.402238425383742,10050888,7.854792842165062,738072,-0.2329810623728872
Perl,pca,PCA,-5.137721759184804,0.9513587002162712,1011708,0.8749813347000267,335126,0.2287493565386041
Python,pca,PCA,12.59519188232538,0.5524495664500918,21133487,15.657731484913649,1764495,-0.7821716282938668
R,pca,PCA,-8.210065446114504,0.1779883234480119,522442,0.2597047993296653,128853,0.71651784140582
Ruby,pca,PCA,5.317156285339351,3.802417829821737,6596943,6.965023084072817,935659,-0.5744428346055598
Rust,pca,PCA,-5.571012660092361,-1.1303598025211887,1194876,0.7724694205232586,83974,-0.5881406747420838
Scala,pca,PCA,-3.575279413396636,0.7198306783322458,1646220,1.2699100644906045,122243,-0.4933382926311309
