language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors
C,pca,PCA,3.890217718905769,1.7710471476350458,6095516,4.8568619633408225,900690
C#,pca,PCA,5.517441488601783,-4.580892116769093,16574065,8.462098866787409,362839
C++,pca,PCA,6.988489251927829,0.6720816242152313,9930758,7.382190664480297,826958
Dart,pca,PCA,-8.057412119132858,-0.4398124515789771,378103,0.295761517822908,20470
Go,pca,PCA,2.3182707254863923,-2.9666429688771667,6039562,4.102650354305577,317241
Haskell,pca,PCA,-7.120469925190852,1.677033290463403,609654,0.49105256295377825,65509
Java,pca,PCA,10.392984410406505,1.299326056133946,16106230,11.910417960102818,961606
JavaScript,pca,PCA,14.720536108057658,-0.7635556797746897,35828850,21.45866269232887,2643812
Julia,pca,PCA,-9.362612436656715,0.2456322605552969,176000,0.09167784640831195,18514
Kotlin,pca,PCA,-5.637564594131219,-1.4773213918098484,1082614,0.7790707868331034,104799
Lua,pca,PCA,-7.0396321138610904,0.419289662457723,765927,0.45717766876588367,157796
Objective-C,pca,PCA,-5.474140555050862,2.4513560749332735,1163558,0.8704981714123565,345410
PHP,pca,PCA,7.052761687492837,2.402238425383742,10050888,7.854792842165062,738072
Perl,pca,PCA,-5.137721759184804,0.9513587002162712,1011708,0.8749813347000267,335126
Python,pca,PCA,12.595191882325379,0.5524495664500918,21133487,15.657731484913647,1764495
R,pca,PCA,-8.210065446114504,0.1779883234480119,522442,0.2597047993296653,128853
Ruby,pca,PCA,5.317156285339351,3.802417829821737,6596943,6.965023084072817,935659
Rust,pca,PCA,-5.571012660092361,-1.1303598025211887,1194876,0.7724694205232586,83974
Scala,pca,PCA,-3.5752794133966357,0.7198306783322458,1646220,1.2699100644906043,122243
Swift,pca,PCA,-5.680126726401055,-0.9721381140560609,1443391,0.7509469530150464,142016
TypeScript,pca,PCA,2.0729881906694505,-4.811327114658991,6146440,4.436318961247738,359881
C,kpca,Kernel PCA (RBF),0.5635463215808968,-0.3394683917248632,6095516,4.8568619633408225,900690
C#,kpca,Kernel PCA (RBF),0.4426701866317555,-0.22245028314610116,16574065,8.462098866787409,362839
C++,kpca,Kernel PCA (RBF),0.7503172169244734,-0.05658508336037972,9930758,7.382190664480297,826958
Dart,kpca,Kernel PCA (RBF),-0.5626277178774844,0.13029724384338232,378103,0.295761517822908,20470
Go,kpca,Kernel PCA (RBF),0.35532413276159613,-0.6188789585956503,6039562,4.102650354305577,317241
Haskell,kpca,Kernel PCA (RBF),-0.5561185558639332,0.12260661916635443,609654,0.49105256295377825,65509
Java,kpca,Kernel PCA (RBF),0.7402596011599251,0.41991861170108796,16106230,11.910417960102818,961606
JavaScript,kpca,Kernel PCA (RBF),0.5042434237674864,0.6226612347058229,35828850,21.45866269232887,2643812
Julia,kpca,Kernel PCA (RBF),-0.5302157146053633,0.20608240916039156,176000,0.09167784640831195,18514
Kotlin,kpca,Kernel PCA (RBF),-0.49449210546043015,-0.08041711744409465,1082614,0.7790707868331034,104799
Lua,kpca,Kernel PCA (RBF),-0.5858500266546468,0.09655562854731987,765927,0.45717766876588367,157796
Objective-C,kpca,Kernel PCA (RBF),-0.48015204329243305,0.034041568118232515,1163558,0.8704981714123565,345410
PHP,kpca,Kernel PCA (RBF),0.7354025616386666,0.028800364699409515,10050888,7.854792842165062,738072
Perl,kpca,Kernel PCA (RBF),-0.5025310418904099,-0.04330985494780249,1011708,0.8749813347000267,335126
Python,kpca,Kernel PCA (RBF),0.656160850426623,0.5948052896022207,21133487,15.657731484913647,1764495
R,kpca,Kernel PCA (RBF),-0.5715478027818026,0.1610190717188427,522442,0.2597047993296653,128853
Ruby,kpca,Kernel PCA (RBF),0.6229411055680298,-0.12561206555160503,6596943,6.965023084072817,935659
Rust,kpca,Kernel PCA (RBF),-0.5123164677781499,-0.07341396167083505,1194876,0.7724694205232586,83974
Scala,kpca,Kernel PCA (RBF),-0.37322880418152105,-0.202480862279458,1646220,1.2699100644906043,122243
Swift,kpca,Kernel PCA (RBF),-0.5124239071689225,-0.046531415351681864,1443391,0.7509469530150464,142016
TypeScript,kpca,Kernel PCA (RBF),0.31063878709564485,-0.6076400471905925,6146440,4.436318961247738,359881
C,tsne,t-SNE (sklearn),44.93454360961914,3.4284183979034424,6095516,4.8568619633408225,900690
C#,tsne,t-SNE (sklearn),46.393768310546875,8.573575019836426,16574065,8.462098866787409,362839
C++,tsne,t-SNE (sklearn),42.555782318115234,0.49720150232315063,9930758,7.382190664480297,826958
Dart,tsne,t-SNE (sklearn),72.86222839355469,-1.555632472038269,378103,0.295761517822908,20470
Go,tsne,t-SNE (sklearn),49.582130432128906,2.890956401824951,6039562,4.102650354305577,317241
Haskell,tsne,t-SNE (sklearn),74.5818862915039,-5.159667015075684,609654,0.49105256295377825,65509
Java,tsne,t-SNE (sklearn),36.771793365478516,5.105631351470947,16106230,11.910417960102818,961606
JavaScript,tsne,t-SNE (sklearn),34.6734504699707,9.111428260803223,35828850,21.45866269232887,2643812
Julia,tsne,t-SNE (sklearn),76.72640991210938,3.475351333618164,176000,0.09167784640831195,18514
Kotlin,tsne,t-SNE (sklearn),69.46247100830078,-4.843159198760986,1082614,0.7790707868331034,104799
Lua,tsne,t-SNE (sklearn),72.50657653808594,2.1943421363830566,765927,0.45717766876588367,157796
Objective-C,tsne,t-SNE (sklearn),68.78526306152344,-0.0117188086733222,1163558,0.8704981714123565,345410
PHP,tsne,t-SNE (sklearn),39.013118743896484,1.7972201108932495,10050888,7.854792842165062,738072
Perl,tsne,t-SNE (sklearn),65.69062805175781,-2.7177574634552,1011708,0.8749813347000267,335126
Python,tsne,t-SNE (sklearn),38.870361328125,9.022876739501953,21133487,15.657731484913647,1764495
R,tsne,t-SNE (sklearn),76.96943664550781,-0.8372510075569153,522442,0.2597047993296653,128853
Ruby,tsne,t-SNE (sklearn),41.610740661621094,4.868834972381592,6596943,6.965023084072817,935659
Rust,tsne,t-SNE (sklearn),71.0402603149414,6.089178562164307,1194876,0.7724694205232586,83974
Scala,tsne,t-SNE (sklearn),64.01559448242188,1.2332743406295776,1646220,1.2699100644906043,122243
Swift,tsne,t-SNE (sklearn),67.51756286621094,4.208617210388184,1443391,0.7509469530150464,142016
TypeScript,tsne,t-SNE (sklearn),51.04563903808594,5.706251621246338,6146440,4.436318961247738,359881
C,umap,UMAP,8.447980880737305,6.837808132171631,6095516,4.8568619633408225,900690
C#,umap,UMAP,8.227436065673828,6.191522598266602,16574065,8.462098866787409,362839
C++,umap,UMAP,7.859749794006348,6.784752368927002,9930758,7.382190664480297,826958
Dart,umap,UMAP,10.71976375579834,1.942541480064392,378103,0.295761517822908,20470
Go,umap,UMAP,8.033548355102539,5.648732662200928,6039562,4.102650354305577,317241
Haskell,umap,UMAP,10.50869369506836,2.6085588932037354,609654,0.49105256295377825,65509
Java,umap,UMAP,7.337784767150879,7.138107776641846,16106230,11.910417960102818,961606
JavaScript,umap,UMAP,7.145416736602783,6.539883613586426,35828850,21.45866269232887,2643812
Julia,umap,UMAP,11.176758766174316,2.0867230892181396,176000,0.09167784640831195,18514
Kotlin,umap,UMAP,9.252799034118652,2.274462938308716,1082614,0.7790707868331034,104799
Lua,umap,UMAP,10.885560035705566,2.9698078632354736,765927,0.45717766876588367,157796
Objective-C,umap,UMAP,10.306002616882324,3.1757113933563232,1163558,0.8704981714123565,345410
