month,language,push_events,unique_actors
2011-01-01,C,13681.208698307177,2408
2011-01-01,C#,2894.425017033318,490
2011-01-01,C++,11777.253132374728,1671
2011-01-01,Dart,5.425922227125484,19
2011-01-01,Go,713.8092236449469,124
2011-01-01,Haskell,2215.5956223122625,251
2011-01-01,Java,13569.932574491131,1537
2011-01-01,JavaScript,20919.38565364256,3863
2011-01-01,Julia,0.7971834118248161,16
2011-01-01,Kotlin,78.10131192177319,40
2011-01-01,Lua,480.7792515549148,266
2011-01-01,Objective-C,2372.4105976091087,840
2011-01-01,PHP,13254.40942652876,1545
2011-01-01,Perl,2107.254910198751,1259
2011-01-01,Python,20514.568828806063,3121
2011-01-01,R,59.81261931835364,195
2011-01-01,Ruby,26157.86519366351,3251
2011-01-01,Rust,396.16435264421926,68
2011-01-01,Scala,1766.035274572395,217
2011-01-01,Swift,26.67583031456684,27
2011-01-01,TypeScript,208.94320126236184,71
2011-04-01,C,24924.392703527,3670
2011-04-01,C#,6068.589164639601,711
2011-04-01,C++,25548.909239595218,2636
2011-04-01,Dart,4.238948828325054,21
2011-04-01,Go,2010.005655602846,189
2011-04-01,Haskell,3868.348270745541,400
2011-04-01,Java,30162.819066096305,2369
2011-04-01,JavaScript,41017.23446625262,6073
2011-04-01,Julia,1.5670573896923423,16
2011-04-01,Kotlin,121.91580241760644,49
2011-04-01,Lua,1092.1989976648083,370
2011-04-01,Objective-C,4748.818686123278,1356
2011-04-01,PHP,24492.522695090367,2419
2011-04-01,Perl,4264.991855201392,1917
2011-04-01,Python,41771.40199545452,4686
2011-04-01,R,155.44708358394337,237
2011-04-01,Ruby,51180.20559594742,4935
2011-04-01,Rust,899.067043717312,124
2011-04-01,Scala,3443.255350058608,326
2011-04-01,Swift,70.90844846613311,54
2011-04-01,TypeScript,646.4895792854932,115
2011-07-01,C,26435.38580416744,4062
2011-07-01,C#,7715.488886934787,832
2011-07-01,C++,26261.99322961204,2972
2011-07-01,Dart,18.600977436070256,13
2011-07-01,Go,2103.7209151918846,197
2011-07-01,Haskell,4924.135615176268,418
2011-07-01,Java,32023.144131966288,2699
2011-07-01,JavaScript,49108.0549797788,7041
2011-07-01,Julia,1.3107179646044191,11
2011-07-01,Kotlin,263.18250657011623,45
2011-07-01,Lua,1412.59468470219,387
2011-07-01,Objective-C,5901.046454813237,1537
2011-07-01,PHP,30004.99842529836,2768
2011-07-01,Perl,4608.802958224072,2128
2011-07-01,Python,50535.536919429134,5466
2011-07-01,R,292.2981963616244,235
2011-07-01,Ruby,55195.137063520575,5409
2011-07-01,Rust,1200.1529290681358,193
2011-07-01,Scala,3776.886140149831,350
2011-07-01,Swift,91.44728529314337,53
2011-07-01,TypeScript,843.084111867993,139
2011-10-01,C,29862.88980898189,4636
2011-10-01,C#,7967.666544162364,945
2011-10-01,C++,29515.790753826568,3400
2011-10-01,Dart,20.41388773239448,22
2011-10-01,Go,2624.598570105815,250
2011-10-01,Haskell,5265.074168966831,464
2011-10-01,Java,34951.73934232112,3168
2011-10-01,JavaScript,56344.28323369878,8198
2011-10-01,Julia,0.8074378309441828,19
2011-10-01,Kotlin,291.6362768940735,57
2011-10-01,Lua,1518.7753029264118,453
2011-10-01,Objective-C,6082.533486198883,1854
2011-10-01,PHP,36333.678422253695,3268
2011-10-01,Perl,5105.50379451752,2527
2011-10-01,Python,52125.61067112739,6253
2011-10-01,R,260.2414950641286,284
2011-10-01,Ruby,53569.957953036224,5733
2011-10-01,Rust,913.1965844517944,196
2011-10-01,Scala,4051.7771404298655,401
2011-10-01,Swift,83.90334953509847,63
2011-10-01,TypeScript,821.8955015395678,200
2012-01-01,C,29527.259672385255,4733
2012-01-01,C#,7897.268281611434,987
2012-01-01,C++,31228.60923284877,3607
2012-01-01,Dart,46.89033444821907,18
2012-01-01,Go,2690.8540843249857,299
2012-01-01,Haskell,5665.308712624808,488
2012-01-01,Java,44908.04017316789,3544
2012-01-01,JavaScript,61325.68237390064,8992
2012-01-01,Julia,2.591247642099897,18
2012-01-01,Kotlin,302.06346266548013,69
2012-01-01,Lua,1868.0947416433617,491
2012-01-01,Objective-C,7547.773150351114,1924
2012-01-01,PHP,39225.3804251284,3503
2012-01-01,Perl,4192.5785953346685,2551
2012-01-01,Python,59875.32053550964,6600
2012-01-01,R,232.8649417886116,284
2012-01-01,Ruby,56333.3237994776,6068
2012-01-01,Rust,369.5920016295162,119
2012-01-01,Scala,4939.17668894806,444
2012-01-01,Swift,132.53236443617658,79
2012-01-01,TypeScript,1433.434535330228,200
2012-04-01,C,9970.02421822015,0
2012-04-01,C#,3154.901198035217,0
2012-04-01,C++,14520.321936213197,0
2012-04-01,Dart,29.58790849380545,0
2012-04-01,Go,421.7094400276324,0
2012-04-01,Haskell,1243.7231900299023,0
2012-04-01,Java,24847.375116796127,0
2012-04-01,JavaScript,33883.93049806474,0
2012-04-01,Julia,0.6297076255690983,0
2012-04-01,Kotlin,95.0464185039393,0
2012-04-01,Lua,617.7941057901709,0
2012-04-01,Objective-C,2449.191366298805,0
2012-04-01,PHP,22239.104085446183,0
2012-04-01,Perl,1994.5193202583791,0
2012-04-01,Python,31458.73811677165,0
2012-04-01,R,48.48007162168298,0
2012-04-01,Ruby,28534.740155880718,0
2012-04-01,Rust,21.517776036465595,0
2012-04-01,Scala,2845.143215451953,0
2012-04-01,Swift,19.918583028327348,0
2012-04-01,TypeScript,868.2625779047767,0
2012-07-01,C,10685.487415803404,0
2012-07-01,C#,3849.263160090266,0
2012-07-01,C++,16598.538800378417,0
2012-07-01,Dart,18.85953907722437,0
2012-07-01,Go,916.9369782177267,0
2012-07-01,Haskell,1280.9264339890942,0
2012-07-01,Java,29262.27655135856,0
2012-07-01,JavaScript,41229.48832054902,0
2012-07-01,Julia,0.4949199420856813,0
2012-07-01,Kotlin,224.7695277338485,0
2012-07-01,Lua,1008.1466788548184,0
2012-07-01,Objective-C,2629.8708851981805,0
2012-07-01,PHP,26846.895554180013,0
2012-07-01,Perl,2071.094435583734,0
2012-07-01,Python,39077.65567626791,0
2012-07-01,R,59.51852791343876,0
2012-07-01,Ruby,30854.708596379616,0
2012-07-01,Rust,90.57692260407211,0
2012-07-01,Scala,2998.079251010482,0
2012-07-01,Swift,53.85002305736144,0
2012-07-01,TypeScript,760.6466159346759,0
2012-10-01,C,14493.837041296683,0
2012-10-01,C#,3566.089796360175,0
2012-10-01,C++,16236.247396624236,0
2012-10-01,Dart,98.38612080012264,0
2012-10-01,Go,1583.5070971451332,0
2012-10-01,Haskell,1383.8542370646612,0
2012-10-01,Java,37389.51708697072,0
2012-10-01,JavaScript,44575.67645541068,0
2012-10-01,Julia,17.289697426202913,0
2012-10-01,Kotlin,404.42857180381486,0
2012-10-01,Lua,686.9336140179362,0
2012-10-01,Objective-C,3369.7478615647155,0
2012-10-01,PHP,30506.46139530504,0
2012-10-01,Perl,2526.5491183528097,0
2012-10-01,Python,42497.309518760194,0
2012-10-01,R,64.43159215443289,0
2012-10-01,Ruby,34925.261878591205,0
2012-10-01,Rust,40.327041027202526,0
2012-10-01,Scala,3105.050987867455,0
2012-10-01,Swift,264.9062061203127,0
2012-10-01,TypeScript,1007.2777227172209,0
2013-01-01,C,18363.264028539903,0
2013-01-01,C#,6623.237882128608,0
2013-01-01,C++,22424.56492452359,0
2013-01-01,Dart,1384.3873682465885,0
2013-01-01,Go,2123.312946966309,0
2013-01-01,Haskell,2156.474864165031,0
2013-01-01,Java,57596.33535795826,0
2013-01-01,JavaScript,61437.539704457326,0
2013-01-01,Julia,65.01052076850351,0
2013-01-01,Kotlin,391.07918079630736,0
2013-01-01,Lua,803.5914717006658,0
2013-01-01,Objective-C,4355.423195439422,0
2013-01-01,PHP,41958.58856993288,0
2013-01-01,Perl,3506.9299201754548,0
2013-01-01,Python,57053.33107257984,0
2013-01-01,R,152.40109174588676,0
2013-01-01,Ruby,45743.606092174,0
2013-01-01,Rust,49.19453174981842,0
2013-01-01,Scala,4060.481485265048,0
2013-01-01,Swift,194.37250836700656,0
2013-01-01,TypeScript,1568.7567499651773,0
2013-04-01,C,21081.36827367104,0
2013-04-01,C#,7745.915659648512,0
2013-04-01,C++,26516.99955388044,0
2013-04-01,Dart,504.43801622427657,0
2013-04-01,Go,3180.7863463250937,0
2013-04-01,Haskell,1750.415368760513,0
2013-04-01,Java,59314.62424319644,0
2013-04-01,JavaScript,71663.0921994257,0
2013-04-01,Julia,51.54606024058727,0
2013-04-01,Kotlin,662.1662442639113,0
2013-04-01,Lua,1071.251158468291,0
2013-04-01,Objective-C,4772.307532496834,0
2013-04-01,PHP,47886.37933783791,0
2013-04-01,Perl,4687.433349927874,0
2013-04-01,Python,65870.40123221988,0
2013-04-01,R,444.26049846957807,0
2013-04-01,Ruby,49193.53671571961,0
2013-04-01,Rust,52.56765698689577,0
2013-04-01,Scala,4767.100025687121,0
2013-04-01,Swift,165.49343301672403,0
2013-04-01,TypeScript,1804.2027760146664,0
2013-07-01,C,26077.917003853763,0
2013-07-01,C#,9682.74088793713,0
2013-07-01,C++,30802.163811685838,0
2013-07-01,Dart,347.17892182567664,0
2013-07-01,Go,4562.667831472993,0
2013-07-01,Haskell,2004.9233341308357,0
2013-07-01,Java,74409.36989045965,0
2013-07-01,JavaScript,95797.87081102945,0
2013-07-01,Julia,296.8057233911145,0
2013-07-01,Kotlin,1158.1881892828924,0
2013-07-01,Lua,1217.0305286201803,0
2013-07-01,Objective-C,7368.697612659571,0
2013-07-01,PHP,56219.859756818216,0
2013-07-01,Perl,5719.756929054764,0
2013-07-01,Python,81515.7879984411,0
2013-07-01,R,632.2529623576604,0
2013-07-01,Ruby,57649.16008744953,0
2013-07-01,Rust,101.22024966536137,0
2013-07-01,Scala,5352.179123574821,0
2013-07-01,Swift,363.0931415599034,0
2013-07-01,TypeScript,3078.7724762421262,0
2013-10-01,C,30555.228662304064,0
2013-10-01,C#,12140.313155650052,0
2013-10-01,C++,38061.48705342339,0
2013-10-01,Dart,927.5691510915917,0
2013-10-01,Go,7279.654710418296,0
2013-10-01,Haskell,2259.122363736649,0
2013-10-01,Java,92410.6623625911,0
2013-10-01,JavaScript,117639.04386244313,0
2013-10-01,Julia,312.8745147793565,0
2013-10-01,Kotlin,1187.9255486462785,0
2013-10-01,Lua,1134.917307880231,0
2013-10-01,Objective-C,9782.869248232893,0
2013-10-01,PHP,64114.71889438417,0
2013-10-01,Perl,5209.245198476749,0
2013-10-01,Python,94061.4347714817,0
2013-10-01,R,830.2027077563174,0
2013-10-01,Ruby,61277.57169291194,0
2013-10-01,Rust,286.3225892651504,0
2013-10-01,Scala,6657.149929424374,0
2013-10-01,Swift,1079.405237959513,0
2013-10-01,TypeScript,3276.376345118075,0
2014-01-01,C,39482.57480805906,0
2014-01-01,C#,14929.853096686567,0
2014-01-01,C++,46528.378245306754,0
2014-01-01,Dart,846.087117922056,0
2014-01-01,Go,10361.252003721263,0
2014-01-01,Haskell,2936.6929907885237,0
2014-01-01,Java,120193.13670086474,0
2014-01-01,JavaScript,157656.67662774608,0
2014-01-01,Julia,363.9517274356361,0
2014-01-01,Kotlin,2361.4792182937,0
2014-01-01,Lua,1907.2039290444168,0
2014-01-01,Objective-C,11937.841804226013,0
2014-01-01,PHP,85012.42080830486,0
2014-01-01,Perl,7396.48960331068,0
2014-01-01,Python,122375.5527111762,0
2014-01-01,R,1687.7918336483192,0
2014-01-01,Ruby,73691.0472914403,0
2014-01-01,Rust,493.2190464222968,0
2014-01-01,Scala,9037.081929712638,0
2014-01-01,Swift,778.2260515765719,0
2014-01-01,TypeScript,5168.155966770545,0
2014-04-01,C,41635.059511676285,0
2014-04-01,C#,19361.83374625941,0
2014-04-01,C++,53644.74770556327,0
2014-04-01,Dart,923.611144398453,0
2014-04-01,Go,15784.621003203298,0
2014-04-01,Haskell,5363.236575340377,0
2014-04-01,Java,132946.80736460857,0
2014-04-01,JavaScript,188770.95287766313,0
2014-04-01,Julia,254.80197861678124,0
2014-04-01,Kotlin,2915.5120103496315,0
2014-04-01,Lua,3563.833608864108,0
2014-04-01,Objective-C,12952.68167276588,0
2014-04-01,PHP,95667.63576031565,0
2014-04-01,Perl,8012.312012252685,0
2014-04-01,Python,135683.765091061,0
2014-04-01,R,2511.4691454556328,0
2014-04-01,Ruby,82407.51153203641,0
2014-04-01,Rust,1384.238934576016,0
2014-04-01,Scala,11348.033263268057,0
2014-04-01,Swift,1109.3385939110383,0
2014-04-01,TypeScript,6761.616423226948,0
2014-07-01,C,46659.704925456026,0
2014-07-01,C#,23097.046740242906,0
2014-07-01,C++,60861.17544957174,0
2014-07-01,Dart,1417.407938280704,0
2014-07-01,Go,22565.66918174211,0
2014-07-01,Haskell,5465.503803805225,0
2014-07-01,Java,143153.0086865941,0
2014-07-01,JavaScript,221625.27438036495,0
2014-07-01,Julia,665.1067976846334,0
2014-07-01,Kotlin,2741.2936845903514,0
2014-07-01,Lua,4721.930193951736,0
2014-07-01,Objective-C,13384.316786112504,0
2014-07-01,PHP,104934.68463408345,0
2014-07-01,Perl,7834.216176674978,0
2014-07-01,Python,149969.00897809697,0
2014-07-01,R,2012.0273778416629,0
2014-07-01,Ruby,89020.48805498413,0
2014-07-01,Rust,3837.195130738845,0
2014-07-01,Scala,14692.453211653186,0
2014-07-01,Swift,3342.3675523258144,0
2014-07-01,TypeScript,8925.193904960623,0
2014-10-01,C,50919.375597133934,0
2014-10-01,C#,28421.58022911475,0
2014-10-01,C++,67233.43191394644,0
2014-10-01,Dart,1081.3078831885064,0
2014-10-01,Go,27199.135122843152,0
2014-10-01,Haskell,5864.240381145496,0
2014-10-01,Java,166689.56008939398,0
2014-10-01,JavaScript,246926.13740109856,0
2014-10-01,Julia,835.1897418593197,0
2014-10-01,Kotlin,3985.3518364464658,0
2014-10-01,Lua,4574.655143410093,0
2014-10-01,Objective-C,14168.709005527646,0
2014-10-01,PHP,121412.19722406392,0
2014-10-01,Perl,8293.224517599383,0
2014-10-01,Python,165575.58377550004,0
2014-10-01,R,2449.246184285668,0
2014-10-01,Ruby,93694.5319090765,0
2014-10-01,Rust,4728.423972575177,0
2014-10-01,Scala,15877.054137859202,0
2014-10-01,Swift,4548.352748444228,0
2014-10-01,TypeScript,13981.160088361778,0
2015-01-01,C,210802.44985798848,31759
2015-01-01,C#,147622.22184952218,13384
2015-01-01,C++,269114.33361713897,29990
2015-01-01,Dart,7814.505441398637,556
2015-01-01,Go,124501.77245311206,7238
2015-01-01,Haskell,33429.0914570451,2803
2015-01-01,Java,514562.8561198434,36703
2015-01-01,JavaScript,869478.3101201181,96554
2015-01-01,Julia,7275.311210912719,486
2015-01-01,Kotlin,7224.424591635637,961
2015-01-01,Lua,26488.22935870731,4193
2015-01-01,Objective-C,58806.42507344197,14062
2015-01-01,PHP,373775.0465696167,32170
2015-01-01,Perl,29889.18441335128,12848
2015-01-01,Python,567957.5280116968,55427
2015-01-01,R,17818.109241856182,3933
2015-01-01,Ruby,261162.3714671876,36540
2015-01-01,Rust,33811.752598234976,1465
2015-01-01,Scala,44461.68105073363,4310
2015-01-01,Swift,26153.12966190308,2922
2015-01-01,TypeScript,31718.179010016967,3438
2015-04-01,C,236441.81509090096,36206
2015-04-01,C#,166947.26076905208,15334
2015-04-01,C++,302464.51798136765,34437
2015-04-01,Dart,8823.115981060922,675
2015-04-01,Go,153656.6068440295,8598
2015-04-01,Haskell,35448.82889148199,3066
2015-04-01,Java,595188.7597186762,42709
2015-04-01,JavaScript,996608.1262859264,111604
2015-04-01,Julia,8199.059559423664,617
2015-04-01,Kotlin,8674.869329184769,1166
2015-04-01,Lua,27955.18576111794,4823
2015-04-01,Objective-C,70358.54249010977,16618
2015-04-01,PHP,400331.0869045784,36179
2015-04-01,Perl,30557.60880689713,13907
2015-04-01,Python,646879.2978347722,64107
2015-04-01,R,22610.20487716429,4475
2015-04-01,Ruby,272758.36292745225,40895
2015-04-01,Rust,38938.00882517883,1909
2015-04-01,Scala,52975.88321764932,4710
2015-04-01,Swift,36923.97826584536,3903
2015-04-01,TypeScript,44169.54347477374,4494
2015-07-01,C,244359.67603122705,41731
2015-07-01,C#,187689.0320526639,17653
2015-07-01,C++,324179.3742349172,39534
2015-07-01,Dart,8782.525298279665,726
2015-07-01,Go,185475.63573091192,11131
2015-07-01,Haskell,37459.67076349134,3306
2015-07-01,Java,610607.9510956721,46828
2015-07-01,JavaScript,1162571.056607606,130390
2015-07-01,Julia,13413.271131665982,787
2015-07-01,Kotlin,10572.097229484889,1394
2015-07-01,Lua,29815.906656324514,5733
2015-07-01,Objective-C,81105.82196327193,20955
2015-07-01,PHP,425956.01982701663,41044
2015-07-01,Perl,31189.873772042803,15766
2015-07-01,Python,726935.5432819691,74368
2015-07-01,R,25090.483970963985,5089
2015-07-01,Ruby,295153.23051816784,49336
2015-07-01,Rust,39610.15826514042,2259
2015-07-01,Scala,57510.46059637242,5310
2015-07-01,Swift,51498.825720163884,5418
2015-07-01,TypeScript,56682.97964896122,5880
2015-10-01,C,254966.38544626813,40835
2015-10-01,C#,249834.0118225527,18101
2015-10-01,C++,354301.23554922594,39272
2015-10-01,Dart,8720.146000173407,728
2015-10-01,Go,182013.34580368895,10801
2015-10-01,Haskell,36770.313287069774,3278
2015-10-01,Java,666847.4343508957,48418
2015-10-01,JavaScript,1213609.6901443107,130375
2015-10-01,Julia,13184.561937727529,871
2015-10-01,Kotlin,16188.634955460702,1760
2015-10-01,Lua,32588.431492798285,5804
2015-10-01,Objective-C,81250.32062585514,20382
2015-10-01,PHP,447589.84520641813,41269
2015-10-01,Perl,31839.77723775667,14781
2015-10-01,Python,764460.869027111,73927
2015-10-01,R,25478.241844794236,5253
2015-10-01,Ruby,285392.88860149053,45361
