language,month,share_pct,feature_value,vector_length
C,2011-01-01,10.27111186253758,1.1654581403976108,62
C,2011-04-01,9.352726733576306,1.0877351360798164,62
C,2011-07-01,8.732705975545208,1.0307925205990784,62
C,2011-10-01,9.112541561873654,1.0625990047398517,62
C,2012-01-01,8.20783868393693,0.9773992521592968,62
C,2012-04-01,5.561622839367729,0.6960996277553018,62
C,2012-07-01,5.075804971928235,0.6315883500407343,62
C,2012-10-01,6.070892780496288,0.7666510635141353,62
C,2013-01-01,5.530905652155488,0.6909076905616761,62
C,2013-04-01,5.649020095987049,0.7040465606410335,62
C,2013-07-01,5.615912157078587,0.6984815338372033,62
C,2013-10-01,5.55061062122232,0.6869414639913253,62
C,2014-01-01,5.520917931486545,0.682768726321009,62
C,2014-04-01,5.058915720678351,0.6023207885839981,62
C,2014-07-01,5.012186936326756,0.5865559004563479,62
C,2014-10-01,4.856594522216582,0.555964310383997,62
C,2015-01-01,5.753550957321392,0.6765447780717662,62
C,2015-04-01,5.687921492945333,0.6649194222825306,62
C,2015-07-01,5.305639095180599,0.6031984250053778,62
C,2015-10-01,5.207135924186573,0.582656088382416,62
C,2016-01-01,5.310209542457295,0.5864072454069702,62
C,2016-04-01,4.891340000370626,0.518327173675866,62
C,2016-07-01,4.935527749866659,0.5198840673148465,62
C,2016-10-01,5.0480396533933565,0.5430520670087576,62
C,2017-01-01,4.495141047863679,0.43917945081129933,62
C,2017-04-01,4.118250309490761,0.3634856343088095,62
C,2017-07-01,3.8886279390458967,0.32562919440994526,62
C,2017-10-01,3.8704065823214457,0.3381957201068942,62
C,2018-01-01,3.788636505696633,0.3269248342416259,62
C,2018-04-01,4.197568981925323,0.3750096385715703,62
C,2018-07-01,4.254506322416015,0.36784146887506625,62
C,2018-10-01,4.385180736462188,0.3996214737017791,62
C,2019-01-01,4.417726422742223,0.4079826317527495,62
C,2019-04-01,4.077786826638423,0.3415270646407584,62
C,2019-07-01,4.257568494097887,0.3748348234033845,62
C,2019-10-01,4.490348445052479,0.4113699789480911,62
C,2020-01-01,4.647633684931078,0.4375842333382659,62
C,2020-04-01,4.730773035183501,0.4557030518105734,62
C,2020-07-01,4.083350002884803,0.35127364401041755,62
C,2020-10-01,4.0486435994036505,0.3516717852102035,62
C,2021-01-01,3.807311801514954,0.3347926788344284,62
C,2021-04-01,4.415150733946361,0.40768127024930423,62
