language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors,z
C,pca,PCA,3.890217718905769,1.7710471476350458,6095516,4.8568619633408225,900690,-0.354794970067394
C#,pca,PCA,5.517441488601783,-4.580892116769093,16574065,8.462098866787409,362839,4.030134665834423
C++,pca,PCA,6.988489251927829,0.6720816242152313,9930758,7.382190664480297,826958,-1.0214382421582116
Dart,pca,PCA,-8.057412119132858,-0.4398124515789771,378103,0.295761517822908,20470,-0.18636249762324544
Go,pca,PCA,2.3182707254863923,-2.9666429688771667,6039562,4.102650354305577,317241,-2.2810770197098584
Haskell,pca,PCA,-7.120469925190852,1.677033290463403,609654,0.49105256295377825,65509,0.926437005095019
Java,pca,PCA,10.392984410406505,1.299326056133946,16106230,11.910417960102818,961606,-0.7646039949197495
JavaScript,pca,PCA,14.720536108057658,-0.7635556797746897,35828850,21.45866269232887,2643812,2.534244230839912
Julia,pca,PCA,-9.362612436656715,0.2456322605552969,176000,0.09167784640831195,18514,0.7193063531961739
Kotlin,pca,PCA,-5.637564594131219,-1.4773213918098484,1082614,0.7790707868331034,104799,-0.9010525870757259
Lua,pca,PCA,-7.0396321138610904,0.419289662457723,765927,0.45717766876588367,157796,0.5605922475481099
Objective-C,pca,PCA,-5.474140555050862,2.4513560749332735,1163558,0.8704981714123565,345410,1.1506845820882685
PHP,pca,PCA,7.052761687492837,2.402238425383742,10050888,7.854792842165062,738072,-0.23298106237288727
Perl,pca,PCA,-5.137721759184804,0.9513587002162712,1011708,0.8749813347000267,335126,0.22874935653860412
Python,pca,PCA,12.595191882325379,0.5524495664500918,21133487,15.657731484913647,1764495,-0.7821716282938668
R,pca,PCA,-8.210065446114504,0.1779883234480119,522442,0.2597047993296653,128853,0.71651784140582
Ruby,pca,PCA,5.317156285339351,3.802417829821737,6596943,6.965023084072817,935659,-0.5744428346055598
Rust,pca,PCA,-5.571012660092361,-1.1303598025211887,1194876,0.7724694205232586,83974,-0.5881406747420838
Scala,pca,PCA,-3.5752794133966357,0.7198306783322458,1646220,1.2699100644906043,122243,-0.4933382926311309
Swift,pca,PCA,-5.680126726401055,-0.9721381140560609,1443391,0.7509469530150464,142016,-0.17313447507036722
TypeScript,pca,PCA,2.0729881906694505,-4.811327114658991,6146440,4.436318961247738,359881,-2.513128003276253
C,kpca,Kernel PCA (RBF),0.5635463215808966,-0.33946839172486315,6095516,4.8568619633408225,900690,0.3749139281533728
C#,kpca,Kernel PCA (RBF),0.44267018663175545,-0.22245028314610113,16574065,8.462098866787409,362839,-0.4407397047683488
C++,kpca,Kernel PCA (RBF),0.7503172169244734,-0.056585083360379755,9930758,7.382190664480297,826958,0.23169247814994343
Dart,kpca,Kernel PCA (RBF),-0.5626277178774841,0.1302972438433822,378103,0.295761517822908,20470,0.01522754399293544
Go,kpca,Kernel PCA (RBF),0.3553241327615956,-0.6188789585956499,6039562,4.102650354305577,317241,-0.29828939165545676
Haskell,kpca,Kernel PCA (RBF),-0.5561185558639331,0.12260661916635436,609654,0.49105256295377825,65509,0.08622439825017206
Java,kpca,Kernel PCA (RBF),0.7402596011599247,0.4199186117010877,16106230,11.910417960102818,961606,0.03365787491131438
JavaScript,kpca,Kernel PCA (RBF),0.5042434237674865,0.6226612347058226,35828850,21.45866269232887,2643812,-0.46778222984145756
Julia,kpca,Kernel PCA (RBF),-0.5302157146053632,0.20608240916039156,176000,0.09167784640831195,18514,0.03153828339639022
Kotlin,kpca,Kernel PCA (RBF),-0.49449210546043015,-0.08041711744409469,1082614,0.7790707868331034,104799,-0.05888290816783748
Lua,kpca,Kernel PCA (RBF),-0.5858500266546467,0.09655562854731986,765927,0.45717766876588367,157796,0.05364651310254854
Objective-C,kpca,Kernel PCA (RBF),-0.4801520432924329,0.03404156811823251,1163558,0.8704981714123565,345410,0.11998165611877049
PHP,kpca,Kernel PCA (RBF),0.7354025616386666,0.028800364699409362,10050888,7.854792842165062,738072,0.3751422924379415
Perl,kpca,Kernel PCA (RBF),-0.5025310418904098,-0.043309854947802456,1011708,0.8749813347000267,335126,0.07330737588125227
Python,kpca,Kernel PCA (RBF),0.6561608504266231,0.5948052896022206,21133487,15.657731484913647,1764495,-0.21170927992373487
R,kpca,Kernel PCA (RBF),-0.5715478027818024,0.16101907171884258,522442,0.2597047993296653,128853,0.04090329033450234
Ruby,kpca,Kernel PCA (RBF),0.62294110556803,-0.1256120655516051,6596943,6.965023084072817,935659,0.5142370015260754
Rust,kpca,Kernel PCA (RBF),-0.5123164677781498,-0.07341396167083504,1194876,0.7724694205232586,83974,-0.035617399826531025
Scala,kpca,Kernel PCA (RBF),-0.37322880418152105,-0.20248086227945797,1646220,1.2699100644906043,122243,0.057372267621185316
Swift,kpca,Kernel PCA (RBF),-0.5124239071689228,-0.04653141535168176,1443391,0.7509469530150464,142016,-0.024153233374046405
TypeScript,kpca,Kernel PCA (RBF),0.31063878709564435,-0.6076400471905923,6146440,4.436318961247738,359881,-0.47067075631899113
C,tsne,t-SNE (sklearn),48.33290481567383,-52.28669357299805,6095516,4.8568619633408225,900690,-25.883325576782227
C#,tsne,t-SNE (sklearn),46.079471588134766,-172.78607177734375,16574065,8.462098866787409,362839,-9.298319816589355
C++,tsne,t-SNE (sklearn),137.9320526123047,-85.19576263427734,9930758,7.382190664480297,826958,14.299857139587402
Dart,tsne,t-SNE (sklearn),-45.505863189697266,144.168212890625,378103,0.295761517822908,20470,75.88909912109375
Go,tsne,t-SNE (sklearn),86.80622100830078,-74.56974029541016,6039562,4.102650354305577,317241,-128.39627075195312
Haskell,tsne,t-SNE (sklearn),-63.54471206665039,33.453102111816406,609654,0.49105256295377825,65509,101.77412414550781
Java,tsne,t-SNE (sklearn),132.04403686523438,-2.2280197143554688,16106230,11.910417960102818,961606,87.74637603759766
JavaScript,tsne,t-SNE (sklearn),176.87503051757812,-108.3501205444336,35828850,21.45866269232887,2643812,119.85396575927734
Julia,tsne,t-SNE (sklearn),-174.6530303955078,4.686840534210205,176000,0.09167784640831195,18514,106.15462493896484
Kotlin,tsne,t-SNE (sklearn),-136.94500732421875,-13.508293151855469,1082614,0.7790707868331034,104799,-97.46575164794922
Lua,tsne,t-SNE (sklearn),-8.322239875793457,130.08119201660156,765927,0.45717766876588367,157796,-29.670846939086914
Objective-C,tsne,t-SNE (sklearn),-64.7886734008789,43.08831787109375,1163558,0.8704981714123565,345410,-3.202108860015869
PHP,tsne,t-SNE (sklearn),57.4717903137207,-76.96472930908203,10050888,7.854792842165062,738072,74.02112579345703
Perl,tsne,t-SNE (sklearn),-123.95323944091797,142.4733428955078,1011708,0.8749813347000267,335126,-27.743061065673828
Python,tsne,t-SNE (sklearn),181.31704711914062,-155.3516845703125,21133487,15.657731484913647,1764495,-46.42552947998047
R,tsne,t-SNE (sklearn),-151.378662109375,107.1216049194336,522442,0.2597047993296653,128853,79.68742370605469
Ruby,tsne,t-SNE (sklearn),128.7856903076172,7.794294834136963,6596943,6.965023084072817,935659,-27.180776596069336
Rust,tsne,t-SNE (sklearn),-187.15997314453125,48.77494430541992,1194876,0.7724694205232586,83974,-24.180299758911133
Scala,tsne,t-SNE (sklearn),-89.14033508300781,83.86837005615234,1646220,1.2699100644906043,122243,-111.35887908935547
Swift,tsne,t-SNE (sklearn),-133.7095184326172,-46.59513854980469,1443391,0.7509469530150464,142016,6.41913366317749
TypeScript,tsne,t-SNE (sklearn),1.9119858741760254,-75.08305358886719,6146440,4.436318961247738,359881,-142.90447998046875
C,umap,UMAP,2.3628089427948,4.837374687194824,6095516,4.8568619633408225,900690,1.0594289302825928
C#,umap,UMAP,1.918191909790039,5.307263374328613,16574065,8.462098866787409,362839,1.742020845413208
C++,umap,UMAP,2.3605198860168457,4.808894157409668,9930758,7.382190664480297,826958,1.690598964691162
Dart,umap,UMAP,0.4628009498119354,8.464837074279785,378103,0.295761517822908,20470,1.808105230331421
Go,umap,UMAP,2.0503945350646973,5.82240629196167,6039562,4.102650354305577,317241,1.4395639896392822
Haskell,umap,UMAP,1.0619161128997803,8.30768871307373,609654,0.49105256295377825,65509,2.461597442626953
Java,umap,UMAP,1.8189144134521484,4.119623184204102,16106230,11.910417960102818,961606,1.189961552619934
JavaScript,umap,UMAP,1.4923757314682007,4.484939098358154,35828850,21.45866269232887,2643812,1.353481411933899
Julia,umap,UMAP,0.4802047908306122,8.552332878112793,176000,0.09167784640831195,18514,2.2995588779449463
Kotlin,umap,UMAP,0.5642385482788086,7.6119303703308105,1082614,0.7790707868331034,104799,1.600466012954712
Lua,umap,UMAP,1.1633689403533936,8.338357925415039,765927,0.45717766876588367,157796,1.7564198970794678
Objective-C,umap,UMAP,1.620805263519287,8.04990005493164,1163558,0.8704981714123565,345410,2.3003416061401367
PHP,umap,UMAP,2.383897066116333,4.162163257598877,10050888,7.854792842165062,738072,1.5404026508331299
Perl,umap,UMAP,1.3261359930038452,7.520233154296875,1011708,0.8749813347000267,335126,2.6482245922088623
Python,umap,UMAP,1.7040902376174927,4.148955821990967,21133487,15.657731484913647,1764495,1.7983466386795044
R,umap,UMAP,0.9110230207443237,8.845083236694336,522442,0.2597047993296653,128853,1.9699523448944092
Ruby,umap,UMAP,2.5100772380828857,4.303350925445557,6596943,6.965023084072817,935659,1.006577968597412
Rust,umap,UMAP,0.7384533286094666,7.383406639099121,1194876,0.7724694205232586,83974,2.149277925491333
Scala,umap,UMAP,1.3673189878463745,7.038195610046387,1646220,1.2699100644906043,122243,2.1172730922698975
Swift,umap,UMAP,1.2407795190811157,7.716716289520264,1443391,0.7509469530150464,142016,1.5282871723175049
TypeScript,umap,UMAP,1.7303367853164673,5.891504287719727,6146440,4.436318961247738,359881,1.9114197492599487
C,trimap,TriMAP,42.60802459716797,0.9446744322776794,6095516,4.8568619633408225,900690,-0.5201985239982605
C#,trimap,TriMAP,39.00235366821289,0.8596095442771912,16574065,8.462098866787409,362839,-0.47277870774269104
